pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
3311054,2,1,1,1,24,16,24,0,0,1,10,10,10,10,1,1,1,1,11,11,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,20,0,0,2,1,1,2,1,1,1
7769243,1,1,1,1,7,5,7,0,0,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,3,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,5,0,0,0,0,0,0,1,1,2
4337533,2,1,1,1,12,3,12,0,0,1,4,4,5,5,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,7,0,0,0,0,0,2,1,2,3
3043465,2,2,0,1,10,10,10,0,0,1,4,4,4,4,1,1,1,1,4,4,1,2,2,1,2,2,2,9,9,1,9,9,9,2,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,1,9,2,0,2,0,0,1,0,0,0,1,2,3
7570535,2,2,1,1,8,22,8,0,0,1,2,2,3,3,1,1,1,1,3,4,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,15,0,0,0,0,0,2,1,2,3
2456823,2,1,1,1,8,5,8,0,0,1,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,2,1,9,9,1,1,9,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,12,0,1,0,1,1,2,1,1,3
2955706,3,2,2,1,17,8,17,0,0,1,5,5,5,5,1,1,1,1,5,5,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,3,1,2,1
4719175,3,1,1,1,11,4,11,0,0,1,6,6,0,0,6,6,0,0,15,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,11,0,0,0,1,0,2,1,2,1
3491089,3,1,1,1,20,5,20,0,0,1,0,0,10,10,0,0,8,8,0,16,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,12,0,0,0,0,1,1,1,2,1
3798954,3,1,1,1,20,5,18,2,0,1,0,0,10,10,0,0,4,4,0,14,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,1,1,1,1,2,1
7268422,3,1,1,1,11,5,9,2,0,1,4,4,3,3,1,1,1,1,4,4,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,1,1,1,1,2,1
3218264,3,2,2,1,6,6,6,0,0,1,2,2,2,2,1,1,1,1,6,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,40,2,0,0,1,1,1,1,1,2,1
5861071,3,3,3,1,24,9,20,2,2,1,0,0,3,3,0,0,1,1,0,10,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,1,1,2,1
4439242,3,5,2,1,11,3,11,0,0,1,0,0,5,5,0,0,1,1,0,5,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,1,0,1,1,1,2,1
2577942,3,2,2,1,11,11,0,0,11,1,0,0,12,12,0,0,2,2,0,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,3,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,1,0,1,0,1,1,2,1
7520414,2,1,1,1,15,9,15,0,0,1,4,4,4,4,1,1,1,1,5,5,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,10,0,0,1,8,1,2,1,1,1
1047790,1,1,1,1,6,6,6,0,0,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0,1,2,3
2304462,1,1,1,1,5,12,5,0,0,1,2,2,2,2,1,1,1,1,3,3,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,0,1,0,0,0,0,0,1,1,2,3
7394360,1,1,1,1,5,6,5,0,0,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,9,9,1,9,9,9,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,6,0,4,1,0,2,1,1,2,2
4991548,2,1,1,1,18,10,18,0,0,1,4,4,5,5,1,1,1,1,5,6,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,8,0,8,1,1,1,2,1,2,3
2936798,1,1,1,1,15,5,15,0,0,1,5,5,5,5,1,1,1,1,3,2,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,3,0,0,0,1,1,1,1,2,1
6663611,3,5,5,1,19,12,19,0,0,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,2,2,2,9,1,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,15,0,0,0,0,0,5,1,1,3
7222577,1,4,4,1,83,25,83,0,0,1,35,35,35,35,5,5,5,5,55,10,1,2,2,1,2,2,1,9,9,1,9,9,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,2,12,98,0,73,2,83,90,10,1,1,1
3405901,2,1,1,1,66,12,66,0,0,1,32,32,32,32,2,2,2,2,32,32,1,1,2,1,1,2,1,1,9,1,1,9,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,0,0,60,0,10,6,1,3,6,1,1,1
9215679,1,7,1,1,32,20,26,6,0,1,7,7,8,8,1,1,1,1,23,9,1,2,2,1,2,2,1,9,9,1,9,9,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,2,2,4,2,2,1,1,9,1,0,49,0,3,1,3,1,10,1,1,1
7181103,3,2,1,1,29,15,29,0,0,1,15,15,0,0,2,2,0,0,36,0,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,0,52,12,0,1,1,2,2,4,1,2,1
3860970,3,2,2,1,14,27,14,0,0,1,2,2,3,3,1,1,1,1,2,4,1,2,2,1,1,2,2,9,9,1,1,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,3,4,1,1,4,1,1,1,3,27,3,0,11,1,3,4,4,1,2,1
3074407,3,2,2,2,17,16,13,4,0,1,0,0,6,6,0,0,3,3,0,6,1,2,2,1,2,2,2,9,9,1,9,9,9,3,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,14,0,0,0,1,0,1,1,2,1
6067073,3,1,1,1,10,12,10,0,0,1,2,2,0,0,1,1,0,0,4,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,40,1,0,0,0,1,0,1,1,2,1
