_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode
160,8747959,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,034-N Rohini D,,,3,1,1,12,1,110086,2,1,3,0,2,4,19,0,0,1,1,1,1,2,220,1,52,0,1,0,0,0,
162,5527967,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,054-E Saboli,,,1,2,1,5,3,110093,2,1,3,0,2,4,19,0,0,0,0,1,1,2,225,1,0,30,0,2,0,0,
167,9030503,DELHI,SOUTH,2,South Delhi Municipal Corporation-Municipal Corporations,065-S R.K. Puram,,,3,3,1,12,1,110022,2,2,3,0,2,4,19,0,0,1,1,1,1,2,220,1,16,21,14,17,0,0,
168,5337431,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,014-E Lakshmi Nagar,,,3,1,1,12,1,110092,2,1,3,0,2,4,19,0,0,1,1,1,1,2,221,1,12,0,0,0,0,0,
169,6810100,DELHI,SOUTH WEST B-II,2,South Delhi Municipal Corporation-Municipal Corporations,042-S Dichaon Kalan,,,5,2,6,12,1,110043,2,2,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0,
170,7905503,DELHI,NORTH EAST I,2,,,,,3,1,1,12,1,110094,2,1,3,0,9,19,4,0,0,1,1,1,1,2,0,1,0,0,17,0,0,0,
174,6825880,DELHI,WEST B,2,South Delhi Municipal Corporation-Municipal Corporations,035-S Kakraula,,,1,2,1,5,3,110078,2,1,3,0,2,4,19,0,0,0,0,1,1,2,250,1,0,83,0,1,0,0,
175,1963618,DELHI,SOUTH,2,South Delhi Municipal Corporation-Municipal Corporations,088-S Chirag Delhi,,,1,3,1,5,3,110044,2,2,3,0,2,4,0,0,0,0,0,1,2,2,226,1,0,0,0,0,0,0,
176,7910695,DELHI,NORTH WEST B-I,2,North Delhi Municipal Corporation-Municipal Corporations,NITHARI,,,1,2,1,5,3,110086,2,1,3,0,2,4,19,0,0,0,0,1,1,2,222,1,0,48,0,3,0,0,
179,5571545,DELHI,SOUTH,2,South Delhi Municipal Corporation-Municipal Corporations,077-S Sangam Vihar-A,,,1,1,1,5,3,110062,2,2,3,0,2,4,19,0,0,0,0,1,2,2,220,1,0,0,0,0,0,0,
