_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
5145,3364701,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,031-N Pooth Khurd,,,1,3,1,5,5,110042,2,2,3,0,2,19,0,0,0,0,0,1,2,9,215,1,0,0,0,0,0,0
5146,9689517,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,020-E Preet Vihar,,,2,3,1,8,5,110092,2,2,3,0,1,19,0,0,0,0,0,1,2,9,220,1,1,0,25,18,0,0
5147,3034084,DELHI,SOUTH WEST B-II,2,South Delhi Municipal Corporation-Municipal Corporations,042-S Dichaon Kalan,,,5,1,6,12,1,110043,2,2,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0
5148,9875797,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,097-S Hari Nagar,,,1,3,1,5,5,110044,2,2,3,0,2,19,0,0,0,0,0,1,2,9,218,1,0,0,0,1,0,0
5149,4204228,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,063-N Shalimar Bagh -South,,,4,3,6,8,4,110088,2,2,3,0,2,4,19,0,0,0,0,1,9,9,220,1,0,0,0,0,0,0
5150,7388495,DELHI,WEST B,2,North Delhi Municipal Corporation-Municipal Corporations,MUNDKA,,,2,3,1,8,5,110041,2,2,3,0,2,19,0,0,0,0,0,1,1,9,219,1,30,14,10,14,0,0
5151,4056349,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,099-S Om Vihar,,,1,3,1,5,5,110044,2,2,3,0,2,19,0,0,0,0,0,1,2,9,222,1,0,2,1,0,5,2
5152,5214862,DELHI,SOUTH,2,South Delhi Municipal Corporation-Municipal Corporations,SAID-UL-AJAIB,,,2,3,1,8,5,110068,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,13,5,1,0,0,0
5153,2477978,DELHI,NORTH WEST B-II,2,North Delhi Municipal Corporation-Municipal Corporations,028-N Rithala,,,2,3,1,8,5,110086,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,34,24,1,0,0,0
5154,2645577,DELHI,SOUTH WEST B-II,2,South Delhi Municipal Corporation-Municipal Corporations,040-S Ghuman Hera,,,1,3,1,5,5,110073,2,2,3,0,2,19,0,0,0,0,0,1,1,9,217,1,19,17,4,3,0,0
